path,label,label_str,tag1
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/FujiFilm_FinePixJ50_0/FujiFilm_FinePixJ50_1_8464.JPG,0,Real,FujiFilm_FinePixJ50_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_D70/Nikon_D70_1_20793.JPG,0,Real,Nikon_D70
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_3_11435.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/rollei_RCP_7325XS/Rollei_RCP-7325XS_2_43046.JPG,0,Real,rollei_RCP_7325XS
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_1_10446.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/FujiFilm_FinePixJ50_0/FujiFilm_FinePixJ50_1_8291.JPG,0,Real,FujiFilm_FinePixJ50_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Olympus_mju_1050SW/Olympus_mju_1050SW_4_25557.JPG,0,Real,Olympus_mju_1050SW
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Praktica_DCZ59/Praktica_DCZ5.9_2_34639.JPG,0,Real,Praktica_DCZ59
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Casio_EX_Z150_0/Casio_EX-Z150_4_7101.JPG,0,Real,Casio_EX_Z150_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_CoolPixS710_0/Nikon_CoolPixS710_1_13236.JPG,0,Real,Nikon_CoolPixS710_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Olympus_mju_1050SW/Olympus_mju_1050SW_4_25760.JPG,0,Real,Olympus_mju_1050SW
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_0_9865.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Casio_EX_Z150_0/Casio_EX-Z150_4_6968.JPG,0,Real,Casio_EX_Z150_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Ricoh_GX100/Ricoh_GX100_2_38973.JPG,0,Real,Ricoh_GX100
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_L74wide/Samsung_L74wide_1_44126.JPG,0,Real,Samsung_L74wide
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Panasonic_DMC_FZ50/Panasonic_DMC-FZ50_1_27900.JPG,0,Real,Panasonic_DMC_FZ50
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Casio_EX_Z150_0/Casio_EX-Z150_2_6060.JPG,0,Real,Casio_EX_Z150_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_T77/Sony_DSC-T77_2_49547.JPG,0,Real,Sony_DSC_T77
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_3_11947.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Praktica_DCZ59/Praktica_DCZ5.9_1_34142.JPG,0,Real,Praktica_DCZ59
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/FujiFilm_FinePixJ50_0/FujiFilm_FinePixJ50_2_8588.JPG,0,Real,FujiFilm_FinePixJ50_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_T77/Sony_DSC-T77_3_50073.JPG,0,Real,Sony_DSC_T77
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Casio_EX_Z150_0/Casio_EX-Z150_2_6062.JPG,0,Real,Casio_EX_Z150_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Panasonic_DMC_FZ50/Panasonic_DMC-FZ50_2_29289.JPG,0,Real,Panasonic_DMC_FZ50
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_CoolPixS710_0/Nikon_CoolPixS710_1_13253.JPG,0,Real,Nikon_CoolPixS710_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Olympus_mju_1050SW/Olympus_mju_1050SW_3_25291.JPG,0,Real,Olympus_mju_1050SW
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_T77/Sony_DSC-T77_2_49568.JPG,0,Real,Sony_DSC_T77
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_2_11037.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/rollei_RCP_7325XS/Rollei_RCP-7325XS_2_43133.JPG,0,Real,rollei_RCP_7325XS
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Canon_PowerShotA640/Canon_PowerShotA640_0_4901.JPG,0,Real,Canon_PowerShotA640
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/FujiFilm_FinePixJ50_0/FujiFilm_FinePixJ50_1_8314.JPG,0,Real,FujiFilm_FinePixJ50_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/rollei_RCP_7325XS/Rollei_RCP-7325XS_2_43203.JPG,0,Real,rollei_RCP_7325XS
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Agfa_DC-733s/Agfa_DC-733s_0_728.JPG,0,Real,Agfa_DC-733s
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_0_9801.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Casio_EX_Z150_0/Casio_EX-Z150_2_6004.JPG,0,Real,Casio_EX_Z150_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_H50/Sony_DSC-H50_0_47444.JPG,0,Real,Sony_DSC_H50
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Praktica_DCZ59/Praktica_DCZ5.9_0_33889.JPG,0,Real,Praktica_DCZ59
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Praktica_DCZ59/Praktica_DCZ5.9_3_35009.JPG,0,Real,Praktica_DCZ59
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_NV15/Samsung_NV15_2_46467.JPG,0,Real,Samsung_NV15
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_T77/Sony_DSC-T77_3_50089.JPG,0,Real,Sony_DSC_T77
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_D200/Nikon_D200_1_17618.JPG,0,Real,Nikon_D200
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_L74wide/Samsung_L74wide_1_44281.JPG,0,Real,Samsung_L74wide
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Canon_Ixus70_0/Canon_Ixus70_2_4300.JPG,0,Real,Canon_Ixus70_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_L74wide/Samsung_L74wide_1_44167.JPG,0,Real,Samsung_L74wide
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Praktica_DCZ59/Praktica_DCZ5.9_1_34257.JPG,0,Real,Praktica_DCZ59
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Casio_EX_Z150_0/Casio_EX-Z150_2_6114.JPG,0,Real,Casio_EX_Z150_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_D200/Nikon_D200_1_17978.JPG,0,Real,Nikon_D200
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/FujiFilm_FinePixJ50_0/FujiFilm_FinePixJ50_0_7807.JPG,0,Real,FujiFilm_FinePixJ50_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Olympus_mju_1050SW/Olympus_mju_1050SW_4_25657.JPG,0,Real,Olympus_mju_1050SW
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Canon_PowerShotA640/Canon_PowerShotA640_0_4904.JPG,0,Real,Canon_PowerShotA640
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Casio_EX_Z150_0/Casio_EX-Z150_2_6126.JPG,0,Real,Casio_EX_Z150_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_NV15/Samsung_NV15_2_46568.JPG,0,Real,Samsung_NV15
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Panasonic_DMC_FZ50/Panasonic_DMC-FZ50_1_27523.JPG,0,Real,Panasonic_DMC_FZ50
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_4_12258.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Praktica_DCZ59/Praktica_DCZ5.9_4_35435.JPG,0,Real,Praktica_DCZ59
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_D200/Nikon_D200_0_15092.JPG,0,Real,Nikon_D200
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_L74wide/Samsung_L74wide_2_44845.JPG,0,Real,Samsung_L74wide
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_D200/Nikon_D200_0_15397.JPG,0,Real,Nikon_D200
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_NV15/Samsung_NV15_0_45501.JPG,0,Real,Samsung_NV15
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_L74wide/Samsung_L74wide_0_43630.JPG,0,Real,Samsung_L74wide
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/FujiFilm_FinePixJ50_0/FujiFilm_FinePixJ50_2_9029.JPG,0,Real,FujiFilm_FinePixJ50_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Pentax_OptioA40/Pentax_OptioA40_2_31742.JPG,0,Real,Pentax_OptioA40
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_3_11432.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_T77/Sony_DSC-T77_2_49582.JPG,0,Real,Sony_DSC_T77
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_3_11517.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Casio_EX_Z150_0/Casio_EX-Z150_4_6984.JPG,0,Real,Casio_EX_Z150_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_T77/Sony_DSC-T77_1_49085.JPG,0,Real,Sony_DSC_T77
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Olympus_mju_1050SW/Olympus_mju_1050SW_4_25703.JPG,0,Real,Olympus_mju_1050SW
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Olympus_mju_1050SW/Olympus_mju_1050SW_1_24244.JPG,0,Real,Olympus_mju_1050SW
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Agfa_DC-733s/Agfa_DC-733s_0_795.JPG,0,Real,Agfa_DC-733s
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Canon_Ixus55_0/Canon_Ixus55_0_2838.JPG,0,Real,Canon_Ixus55_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_CoolPixS710_0/Nikon_CoolPixS710_4_14609.JPG,0,Real,Nikon_CoolPixS710_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Canon_Ixus55_0/Canon_Ixus55_0_2755.JPG,0,Real,Canon_Ixus55_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Canon_Ixus70_0/Canon_Ixus70_2_4143.JPG,0,Real,Canon_Ixus70_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/FujiFilm_FinePixJ50_0/FujiFilm_FinePixJ50_1_8194.JPG,0,Real,FujiFilm_FinePixJ50_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Ricoh_GX100/Ricoh_GX100_2_38985.JPG,0,Real,Ricoh_GX100
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Agfa_Sensor530s_0/Agfa_Sensor530s_0_2455.JPG,0,Real,Agfa_Sensor530s_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Agfa_DC-830i_0/Agfa_DC-830i_0_1377.JPG,0,Real,Agfa_DC-830i_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_D200/Nikon_D200_0_15104.JPG,0,Real,Nikon_D200
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_D70/Nikon_D70s_0_21955.JPG,0,Real,Nikon_D70
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_W170/Sony_DSC-W170_1_51758.JPG,0,Real,Sony_DSC_W170
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Ricoh_GX100/Ricoh_GX100_4_41361.JPG,0,Real,Ricoh_GX100
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_3_11913.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Panasonic_DMC_FZ50/Panasonic_DMC-FZ50_2_29332.JPG,0,Real,Panasonic_DMC_FZ50
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_D200/Nikon_D200_0_15441.JPG,0,Real,Nikon_D200
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_H50/Sony_DSC-H50_1_47876.JPG,0,Real,Sony_DSC_H50
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_NV15/Samsung_NV15_1_45943.JPG,0,Real,Samsung_NV15
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_CoolPixS710_0/Nikon_CoolPixS710_1_13252.JPG,0,Real,Nikon_CoolPixS710_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Praktica_DCZ59/Praktica_DCZ5.9_1_34205.JPG,0,Real,Praktica_DCZ59
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Olympus_mju_1050SW/Olympus_mju_1050SW_1_24339.JPG,0,Real,Olympus_mju_1050SW
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Pentax_OptioA40/Pentax_OptioA40_3_32465.JPG,0,Real,Pentax_OptioA40
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_0_9543.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_NV15/Samsung_NV15_2_46346.JPG,0,Real,Samsung_NV15
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_2_10784.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Pentax_OptioW60/Pentax_OptioW60_0_32914.JPG,0,Real,Pentax_OptioW60
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_L74wide/Samsung_L74wide_2_44870.JPG,0,Real,Samsung_L74wide
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Praktica_DCZ59/Praktica_DCZ5.9_2_34704.JPG,0,Real,Praktica_DCZ59
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_D70/Nikon_D70s_0_21893.JPG,0,Real,Nikon_D70
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_L74wide/Samsung_L74wide_0_43665.JPG,0,Real,Samsung_L74wide
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/FujiFilm_FinePixJ50_0/FujiFilm_FinePixJ50_2_8573.JPG,0,Real,FujiFilm_FinePixJ50_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Praktica_DCZ59/Praktica_DCZ5.9_1_34199.JPG,0,Real,Praktica_DCZ59
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_NV15/Samsung_NV15_1_45937.JPG,0,Real,Samsung_NV15
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_1_10088.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Pentax_OptioA40/Pentax_OptioA40_2_31591.JPG,0,Real,Pentax_OptioA40
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Agfa_DC-504_0/Agfa_DC-504_0_217.JPG,0,Real,Agfa_DC-504_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Olympus_mju_1050SW/Olympus_mju_1050SW_1_24288.JPG,0,Real,Olympus_mju_1050SW
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_H50/Sony_DSC-H50_1_48117.JPG,0,Real,Sony_DSC_H50
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_NV15/Samsung_NV15_1_46026.JPG,0,Real,Samsung_NV15
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Praktica_DCZ59/Praktica_DCZ5.9_2_34553.JPG,0,Real,Praktica_DCZ59
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_CoolPixS710_0/Nikon_CoolPixS710_4_14523.JPG,0,Real,Nikon_CoolPixS710_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Ricoh_GX100/Ricoh_GX100_2_39213.JPG,0,Real,Ricoh_GX100
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_D200/Nikon_D200_1_17898.JPG,0,Real,Nikon_D200
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_1_10636.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_H50/Sony_DSC-H50_0_47745.JPG,0,Real,Sony_DSC_H50
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_1_10063.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_D200/Nikon_D200_1_17760.JPG,0,Real,Nikon_D200
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Olympus_mju_1050SW/Olympus_mju_1050SW_0_23883.JPG,0,Real,Olympus_mju_1050SW
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_4_12578.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Praktica_DCZ59/Praktica_DCZ5.9_2_34638.JPG,0,Real,Praktica_DCZ59
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_W170/Sony_DSC-W170_0_51136.JPG,0,Real,Sony_DSC_W170
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_NV15/Samsung_NV15_0_45379.JPG,0,Real,Samsung_NV15
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Panasonic_DMC_FZ50/Panasonic_DMC-FZ50_1_27821.JPG,0,Real,Panasonic_DMC_FZ50
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_D200/Nikon_D200_0_15333.JPG,0,Real,Nikon_D200
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_0_9569.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Casio_EX_Z150_0/Casio_EX-Z150_2_5964.JPG,0,Real,Casio_EX_Z150_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_NV15/Samsung_NV15_0_45387.JPG,0,Real,Samsung_NV15
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_0_9602.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Agfa_Sensor530s_0/Agfa_Sensor530s_0_2157.JPG,0,Real,Agfa_Sensor530s_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_D70/Nikon_D70_1_20551.JPG,0,Real,Nikon_D70
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_4_12252.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_1_10123.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_NV15/Samsung_NV15_0_45431.JPG,0,Real,Samsung_NV15
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_T77/Sony_DSC-T77_3_50029.JPG,0,Real,Sony_DSC_T77
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Pentax_OptioA40/Pentax_OptioA40_3_32266.JPG,0,Real,Pentax_OptioA40
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_2_10850.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_CoolPixS710_0/Nikon_CoolPixS710_1_13410.JPG,0,Real,Nikon_CoolPixS710_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Casio_EX_Z150_0/Casio_EX-Z150_1_5629.JPG,0,Real,Casio_EX_Z150_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_2_11200.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Pentax_OptioA40/Pentax_OptioA40_2_31554.JPG,0,Real,Pentax_OptioA40
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Olympus_mju_1050SW/Olympus_mju_1050SW_1_24325.JPG,0,Real,Olympus_mju_1050SW
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_H50/Sony_DSC-H50_1_47915.JPG,0,Real,Sony_DSC_H50
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/rollei_RCP_7325XS/Rollei_RCP-7325XS_2_43202.JPG,0,Real,rollei_RCP_7325XS
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Agfa_DC-733s/Agfa_DC-733s_0_869.JPG,0,Real,Agfa_DC-733s
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Praktica_DCZ59/Praktica_DCZ5.9_2_34516.JPG,0,Real,Praktica_DCZ59
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Olympus_mju_1050SW/Olympus_mju_1050SW_3_25142.JPG,0,Real,Olympus_mju_1050SW
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Agfa_DC-830i_0/Agfa_DC-830i_0_1115.JPG,0,Real,Agfa_DC-830i_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_1_10156.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Canon_Ixus55_0/Canon_Ixus55_0_2901.JPG,0,Real,Canon_Ixus55_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Casio_EX_Z150_0/Casio_EX-Z150_2_6129.JPG,0,Real,Casio_EX_Z150_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Casio_EX_Z150_0/Casio_EX-Z150_1_5622.JPG,0,Real,Casio_EX_Z150_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/FujiFilm_FinePixJ50_0/FujiFilm_FinePixJ50_0_7678.JPG,0,Real,FujiFilm_FinePixJ50_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Canon_PowerShotA640/Canon_PowerShotA640_0_4869.JPG,0,Real,Canon_PowerShotA640
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_L74wide/Samsung_L74wide_0_43650.JPG,0,Real,Samsung_L74wide
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_3_11923.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Pentax_OptioW60/Pentax_OptioW60_0_32995.JPG,0,Real,Pentax_OptioW60
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Agfa_Sensor530s_0/Agfa_Sensor530s_0_2389.JPG,0,Real,Agfa_Sensor530s_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Olympus_mju_1050SW/Olympus_mju_1050SW_1_24256.JPG,0,Real,Olympus_mju_1050SW
